operator,tail_number,aircraft_type,category,engines,cargo_pax,seats,base_icao,crew,cruise_kts,range_nm,max_payload_lbs,mtow_lbs,fet_status,door_type,door_w_in,door_h_in,cabin_l_ft,cabin_w_ft,cabin_h_ft,cabin_vol_cuft,trips_logged,avg_op_per_nm_circuit,med_assumed_op_per_nm,est_op_per_hr,liability_limit,hull_value,notes,spec_source
"Royal Air Freight, Inc.",N945W,Lear 35a,Light Jet,Turbine,,8,KPTK,,430,2000,3200,18300,FET applies,Clamshell,24,47,12.9,4.9,4.3,268,,,7.08,3045,,,,published typical config — verify per tail
"Royal Air Freight, Inc.",N551RA,Lear 55,Midsize Jet,Turbine,,7,KPTK,,440,2000,2700,21500,FET applies,Airstair,27,50,16.7,5.9,5.7,450,,,,,,,,published typical config — verify per tail
"Royal Air Freight, Inc.",N805PC,Lear 55,Midsize Jet,Turbine,,7,KPTK,,440,2000,2700,21500,FET applies,Airstair,27,50,16.7,5.9,5.7,450,,,,,,,,published typical config — verify per tail
"Royal Air Freight, Inc.",N860RA,Lear 60,Midsize Jet,Turbine,,7,KPTK,,445,2200,2600,23500,FET applies,Airstair,27,50,17.7,5.9,5.7,450,,,,,,,,published typical config — verify per tail
SkyLife Elite LLC.,N812GB,King Air 90,Turboprop,Multi Turboprop,,6,KMCO,,225,1200,1500,10100,FET applies,Airstair,27,51,12.6,4.5,4.8,220,,,9.13,2053,,,,published typical config — verify per tail
SkyLife Elite LLC.,N933RG,Citation CJ1,Light Jet,Turbine,,5,KMCO,,380,1200,1500,10700,FET applies,Airstair,24,51,11,4.8,4.8,200,,,17.89,6799,,,,published typical config — verify per tail
SkyLife Elite LLC.,N3MH,King Air 200,Turboprop,Multi Turboprop,,8,KMCO,,270,1700,2500,12500,FET applies,Airstair (cargo door opt.),27,52,16.7,4.5,4.8,303,,,13.32,3596,,,,published typical config — verify per tail
SkyLife Elite LLC.,HA-420,Honda Jet,Light Jet,Turbine,,5,KMCO,,420,1200,1400,10700,FET applies,Airstair,26,50,12.1,5,4.8,220,,,,,,,,published typical config — verify per tail
SKYSHARE,N612FA,Gulfstream G200,Super-Mid Jet,Turbine,Pax,9,KOGD,,450,3000,4000,35450,FET applies,Airstair,32,62,24.5,7.2,6.3,870,,,,,,,,published typical config — verify per tail
SKYSHARE,N860CB,Gulfstream G200,Super-Mid Jet,Turbine,Pax,9,KOGD,,450,3000,4000,35450,FET applies,Airstair,32,62,24.5,7.2,6.3,870,,,,,,,,published typical config — verify per tail
SKYSHARE,N861CB,Gulfstream G200,Super-Mid Jet,Turbine,Pax,9,KOGD,,450,3000,4000,35450,FET applies,Airstair,32,62,24.5,7.2,6.3,870,,,,,,,,published typical config — verify per tail
SKYSHARE,N450GR,Gulfstream GIV,Heavy Jet,Turbine,Pax,13,KOGD,,470,4000,4500,74600,FET applies,Airstair,36,62,45.1,7.3,6.2,1650,,,,,,,,published typical config — verify per tail
SKYSHARE,N787JS,Gulfstream GIV,Heavy Jet,Turbine,Pax,13,KOGD,,470,4000,4500,74600,FET applies,Airstair,36,62,45.1,7.3,6.2,1650,,,,,,,,published typical config — verify per tail
SKYSHARE,N744CB,Citation CJ2,Light Jet,Turbine,Pax,6,KOGD,,405,1500,1700,12500,FET applies,Airstair,24,51,13.6,4.8,4.8,250,,,,,,,,published typical config — verify per tail
SKYSHARE,N868CB,Citation CJ2,Light Jet,Turbine,Pax,6,KOGD,,405,1500,1700,12500,FET applies,Airstair,24,51,13.6,4.8,4.8,250,,,,,,,,published typical config — verify per tail
SKYSHARE,N871CB,Citation CJ2,Light Jet,Turbine,Pax,6,KOGD,,405,1500,1700,12500,FET applies,Airstair,24,51,13.6,4.8,4.8,250,,,,,,,,published typical config — verify per tail
SKYSHARE,N606CB,Citation XLS,Midsize Jet,Turbine,Pax,8,KOGD,,430,1800,2300,20200,FET applies,Airstair,25,56,18.5,5.5,5.7,460,,,15.55,6687,,,,published typical config — verify per tail
SKYSHARE,N766CB,Citation XLS,Midsize Jet,Turbine,Pax,8,KOGD,,430,1800,2300,20200,FET applies,Airstair,25,56,18.5,5.5,5.7,460,,,15.55,6687,,,,published typical config — verify per tail
SKYSHARE,N409KG,Embrarer Legacy,Heavy Jet,Turbine,Pax,13,KOGD,,450,3200,4800,49604,FET applies,Airstair,33,66,42.5,6.9,6,1650,,,,,,,,published typical config — verify per tail
SKYSHARE,N499CB,Pilatus PC-12,Turboprop,Single Turboprop,Pax,8,KOGD,,270,1800,2600,10450,FET applies,Cargo door + airstair,53,52,16.9,5,4.8,330,,,,,,,,published typical config — verify per tail
SKYSHARE,N515RP,Pilatus PC-12,Turboprop,Single Turboprop,Pax,8,KOGD,,270,1800,2600,10450,FET applies,Cargo door + airstair,53,52,16.9,5,4.8,330,,,,,,,,published typical config — verify per tail
SKYSHARE,N870CB,Pilatus PC-12,Turboprop,Single Turboprop,Pax,8,KOGD,,270,1800,2600,10450,FET applies,Cargo door + airstair,53,52,16.9,5,4.8,330,,,,,,,,published typical config — verify per tail
SKYSHARE,N739S,Pilatus PC-12,Turboprop,Single Turboprop,Pax,8,KOGD,,270,1800,2600,10450,FET applies,Cargo door + airstair,53,52,16.9,5,4.8,330,,,,,,,,published typical config — verify per tail
SKYSHARE,N863CB,Pilatus PC-12,Turboprop,Single Turboprop,Pax,8,KOGD,,270,1800,2600,10450,FET applies,Cargo door + airstair,53,52,16.9,5,4.8,330,,,,,,,,published typical config — verify per tail
SKYSHARE,N418T,Pilatus PC-12,Turboprop,Single Turboprop,Pax,8,KOGD,,270,1800,2600,10450,FET applies,Cargo door + airstair,53,52,16.9,5,4.8,330,,,,,,,,published typical config — verify per tail
SKYSHARE,N477KR,Pilatus PC-12,Turboprop,Single Turboprop,Pax,8,KOGD,,270,1800,2600,10450,FET applies,Cargo door + airstair,53,52,16.9,5,4.8,330,,,,,,,,published typical config — verify per tail
SKYSHARE,N511DR,Pilatus PC-12,Turboprop,Single Turboprop,Pax,8,KOGD,,270,1800,2600,10450,FET applies,Cargo door + airstair,53,52,16.9,5,4.8,330,,,,,,,,published typical config — verify per tail
SKYSHARE,N825NX,Pilatus PC-12,Turboprop,Single Turboprop,Pax,8,KOGD,,270,1800,2600,10450,FET applies,Cargo door + airstair,53,52,16.9,5,4.8,330,,,,,,,,published typical config — verify per tail
SKYSHARE,N963CB,Pilatus PC-12,Turboprop,Single Turboprop,Pax,8,KOGD,,270,1800,2600,10450,FET applies,Cargo door + airstair,53,52,16.9,5,4.8,330,,,,,,,,published typical config — verify per tail
"Sonrise Aviation, LLC",N98DM,Cessna 310,Piston,Multi Piston,,4,KPLD,,180,900,1300,5500,"EXEMPT — MTOW ≤ 6,000 lb (IRC §4281)",Single door,26,36,10.5,4,4.1,110,1,6.49,6.49,,,,,published typical config — verify per tail
"Sonrise Aviation, LLC",N2738B,Cessna 310,Piston,Multi Piston,,4,KPLD,,180,900,1300,5500,"EXEMPT — MTOW ≤ 6,000 lb (IRC §4281)",Single door,26,36,10.5,4,4.1,110,4,6.21,6.21,,,,,published typical config — verify per tail
"Sonrise Aviation, LLC",N3284M,Cessna 310,Piston,Multi Piston,,4,KPLD,,180,900,1300,5500,"EXEMPT — MTOW ≤ 6,000 lb (IRC §4281)",Single door,26,36,10.5,4,4.1,110,1,6.38,6.38,,,,,published typical config — verify per tail
"Sonrise Aviation, LLC",N4258C,Cessna 310,Piston,Multi Piston,,4,KPLD,,180,900,1300,5500,"EXEMPT — MTOW ≤ 6,000 lb (IRC §4281)",Single door,26,36,10.5,4,4.1,110,2,6.15,6.15,,,,,published typical config — verify per tail
"Sonrise Aviation, LLC",N80BS,Cessna 404,Piston,Multi Piston,,4,KPLD,,185,1300,2300,8400,FET applies,Door + cargo door,49,51,15.5,4.2,4.1,160,1,7.3,7.3,,,,,published typical config — verify per tail
"Sonrise Aviation, LLC",N103RC,Cessna 404,Piston,Multi Piston,,4,KPLD,,185,1300,2300,8400,FET applies,Door + cargo door,49,51,15.5,4.2,4.1,160,2,8.77,8.77,,,,,published typical config — verify per tail
"Speed Aviation, Inc.",N904P,King Air 90,Turboprop,Multi Turboprop,Pax,6,KBHM,,225,1200,1500,10100,FET applies,Airstair,27,51,12.6,4.5,4.8,220,,,9.13,2053,,,,published typical config — verify per tail
"Speed Aviation, Inc.",N631KA,Lear 31,Light Jet,Turbine,Pax,7,KBHM,,430,1400,2500,17000,FET applies,Clamshell,24,47,12.9,4.9,4.3,268,,,,,,,,published typical config — verify per tail
"Speed Aviation, Inc.",N1932K,Lear 31,Light Jet,Turbine,Pax,7,KBHM,,430,1400,2500,17000,FET applies,Clamshell,24,47,12.9,4.9,4.3,268,,,,,,,,published typical config — verify per tail
SWEET AVIATION LLC,N812SA,PC-12,Turboprop,Single Turboprop,Pax,8,KFWA,,270,1800,2600,10450,FET applies,Cargo door + airstair,53,52,16.9,5,4.8,330,,,,,,,,published typical config — verify per tail
SWEET AVIATION LLC,N813SA,PC-12,Turboprop,Single Turboprop,Pax,8,KFWA,,270,1800,2600,10450,FET applies,Cargo door + airstair,53,52,16.9,5,4.8,330,,,,,,,,published typical config — verify per tail
SWEET AVIATION LLC,N57SA,SR-22,Piston,Single Piston,Pax,3,KFWA,,175,1000,900,3600,"EXEMPT — MTOW ≤ 6,000 lb (IRC §4281)",Two doors,32,41,10.8,4.1,4.2,90,,,8.05,1408,,,,published typical config — verify per tail
SWEET AVIATION LLC,N287CJ,CJ3,Light Jet,Turbine,Pax,7,KFWA,,415,1800,2000,13870,FET applies,Airstair,24,51,15.7,4.8,4.8,290,,,17.21,6970,,,,published typical config — verify per tail
SWEET AVIATION LLC,N855AC,Citation XLS,Midsize Jet,Turbine,Pax,8,KFWA,,430,1800,2300,20200,FET applies,Airstair,25,56,18.5,5.5,5.7,460,,,15.55,6687,,,,published typical config — verify per tail
SWEET AVIATION LLC,N85HA,Citation XLS,Midsize Jet,Turbine,Pax,8,KFWA,,430,1800,2300,20200,FET applies,Airstair,25,56,18.5,5.5,5.7,460,,,15.55,6687,,,,published typical config — verify per tail
Trans North Aviation,N742LG,SR-22,Piston,Single Piston,,3,KAID,,175,1000,900,3600,"EXEMPT — MTOW ≤ 6,000 lb (IRC §4281)",Two doors,32,41,10.8,4.1,4.2,90,,,8.05,1408,,,,published typical config — verify per tail
Trans North Aviation,N907DK,Cessna Citation,Light Jet,Turbine,,6,KAID,,350,1200,1500,11850,FET applies,Airstair,24,51,12.4,4.8,4.3,210,,,,,,,,published typical config — verify per tail
Trans North Aviation,N1327J,Cessna Citation,Light Jet,Turbine,,6,KAID,,350,1200,1500,11850,FET applies,Airstair,24,51,12.4,4.8,4.3,210,,,,,,,,published typical config — verify per tail
Trans North Aviation,630MW,Piper Cheyenne,Turboprop,Multi Turboprop,,6,KAID,,240,1300,1800,9000,FET applies,Airstair,26,47,12.9,4.3,4.3,180,,,12.49,2997,,,,published typical config — verify per tail
Trans North Aviation,N89TB,Lear 35a,Light Jet,Turbine,,8,KAID,,430,2000,3200,18300,FET applies,Clamshell,24,47,12.9,4.9,4.3,268,,,7.08,3045,,,,published typical config — verify per tail
Vertivue - Ted,N525TM,Baron 58,Piston,Multi Piston,,5,KXLL,,190,1050,1100,5500,"EXEMPT — MTOW ≤ 6,000 lb (IRC §4281)",Double aft doors,43,36,12.6,3.5,4.2,136,,,15.23,2894,,,,published typical config — verify per tail
Vertivue - Ted,N321TR,King Air 90,Turboprop,Multi Turboprop,,6,KXLL,,225,1200,1500,10100,FET applies,Airstair,27,51,12.6,4.5,4.8,220,,,12.05,2711,,,,published typical config — verify per tail
Zanesville Aviation,TBD,CJ1,Light Jet,Turbine,,5,KZZV,,380,1200,1500,10700,FET applies,Airstair,24,51,11,4.8,4.8,200,1,7.2,17.89,6799,,,,published typical config — verify per tail
Zanesville Aviation,TBD,Citation Bravo,Light Jet,Turbine,,7,KZZV,,400,1500,1800,13300,FET applies,Airstair,24,51,15.8,4.8,4.7,280,1,7.2,23.33,9334,,,,published typical config — verify per tail
